id,skills,education,experience_years,role
1000,"communication, computer_vision, cpp, cybersecurity, dotnet, ethereum, spring, swift",Masters,3,Product Manager
1001,"bash, html, javascript, kotlin, kubernetes, linux, pytorch",Bootcamp,14,DevOps Engineer
1002,"agile, css, hadoop, pytorch",Bootcamp,4,Project Manager
1003,"computer_vision, csharp, cypress, leadership, photoshop, technical_writing",Bootcamp,11,Frontend Developer
1004,"cypress, mongodb, ux_research",Masters,12,Database Administrator
1005,"aws, elasticsearch, hadoop, pandas, python, sketch, spring",Bachelors,3,Data Scientist
1006,"illustrator, jira, problem_solving",Bachelors,12,Product Manager
1007,"angular, apache_spark, cpp",Bootcamp,15,Robotics Engineer
1008,"html, laravel, rabbitmq, ruby",Bachelors,4,Frontend Developer
1009,"hadoop, html, mysql",Bachelors,12,Data Scientist
1010,"agile, css, excel, gcp, go, hadoop, laravel, spring",Bachelors,14,Project Manager
1011,"azure, graphql, pandas, postgresql, redis, ruby, spring",Masters,4,Backend Developer
1012,"cicd, elasticsearch, redis, spring",Bootcamp,0,Backend Developer
1013,"git, public_speaking, rabbitmq, sql, statistics, terraform",Bachelors,14,Data Analyst
1014,"aws, css, cybersecurity, problem_solving, terraform, vue",Masters,7,DevOps Engineer
1015,"javascript, kubernetes, mongodb, networking, pytest",PhD,7,Solutions Architect
1016,"communication, go, spring, swift, technical_writing, ux_research",Bachelors,8,UX/UI Designer
1017,"django, flask, git, sketch",Bootcamp,13,Backend Developer
1018,"firebase, mongodb_atlas, nlp, terraform",Bachelors,1,Data Scientist
1019,"docker, microservices, networking, nosql, pandas, photoshop, rails, react",Bachelors,15,Full Stack Developer
1020,"flask, git, kafka, nodejs, rails, statistics, websockets",Bootcamp,7,Data Scientist
1021,"bash, cpp, github_actions, ruby",Bachelors,9,DevOps Engineer
1022,"photoshop, swift, ui_design",PhD,2,UX/UI Designer
1023,"computer_vision, git, kafka, microservices, nginx, problem_solving, sql",Masters,7,Backend Developer
1024,"java, mongodb, project_management, python, statistics",Bootcamp,2,Software Developer
1025,"communication, data_analysis, firebase, problem_solving, r",Masters,11,Product Manager
1026,"bash, cpp, csharp, illustrator, solidity, ux_research",Bachelors,9,Systems Administrator
1027,"flask, nlp, testing",Bachelors,13,Software Developer
1028,"apache, data_analysis, deep_learning, excel, junit, websockets",Bootcamp,11,Data Analyst
1029,"bash, communication, data_viz, django, dotnet, git, public_speaking",Masters,10,Product Manager
1030,"kubernetes, linux, rust, solidity, typescript",Masters,1,DevOps Engineer
1031,"jira, swift, typescript",Masters,5,Project Manager
1032,"excel, linux, project_management, redis",Bachelors,0,Project Manager
1033,"cpp, numpy, pandas, php, tableau",Bachelors,0,Data Analyst
1034,"aws, devops, html, kafka",Bootcamp,7,Cloud Engineer
1035,"agile, aws, numpy, python, pytorch, statistics, swift, typescript",PhD,7,Data Scientist
1036,"gcp, kotlin, nodejs, problem_solving, swift",Bachelors,1,Full Stack Developer
1037,"grpc, junit, kubernetes, r, solidity, statistics",Bachelors,14,Data Analyst
1038,"figma, rails, spring",Bachelors,2,UX/UI Designer
1039,"csharp, figma, git, networking, pandas, pytest, swift, typescript",Masters,7,Cloud Engineer
1040,"go, nlp, python, scala, statistics, typescript",Bachelors,0,Data Scientist
1041,"azure, docker, kotlin, kubernetes",Bootcamp,7,DevOps Engineer
1042,"jenkins, problem_solving, rust",Masters,4,Product Manager
1043,"bash, devops, public_speaking, supabase",Bootcamp,0,DevOps Engineer
1044,"devops, machine_learning, networking, r, rest_apis",Bachelors,10,Software Developer
1045,"graphql, nginx, python, spring, ux_research",PhD,3,Backend Developer
1046,"data_analysis, data_viz, github_actions, leadership, ruby, rust, supabase, swift",Bootcamp,12,Data Scientist
1047,"apache_spark, django, mongodb, nodejs, ruby, rust",Bootcamp,2,Full Stack Developer
1048,"docker, firebase, nosql, php, pytorch, rest_apis, scikit_learn",Bachelors,7,Machine Learning Engineer
1049,"cybersecurity, linux, pandas, postgresql, pytest, react, redis, technical_writing",Bachelors,13,Cybersecurity Analyst
1050,"cpp, data_viz, flask, jenkins, ruby, sql, technical_writing",Bootcamp,4,Robotics Engineer
1051,"azure, firebase, nginx",Bachelors,6,Cloud Engineer
1052,"bash, communication, gitlab, graphql, jira, php, powershell",Bachelors,5,Product Manager
1053,"express, java, public_speaking, typescript",Bootcamp,14,Backend Developer
1054,"communication, data_viz, nginx, powershell",Bachelors,10,Technical Writer
1055,"elasticsearch, git, hadoop, javascript, kotlin",Masters,6,Software Developer
1056,"azure, cybersecurity, gcp, git, hadoop, mysql, nodejs, statistics",Bachelors,8,Cybersecurity Analyst
1057,"javascript, php, pytorch, r, tableau",Masters,13,Software Developer
1058,"agile, apache, data_analysis, elasticsearch, firebase, leadership, r",Masters,15,Project Manager
1059,"apache_spark, linux, nodejs, react, supabase, ux_research",PhD,0,Full Stack Developer
1060,"communication, computer_vision, jenkins, nosql, php, selenium, tableau, ui_design",Bootcamp,14,Data Analyst
1061,"communication, cypress, elasticsearch, flask, git, javascript, jenkins",Masters,6,Software Developer
1062,"elasticsearch, project_management, rust, tensorflow, testing, ux_research",Bachelors,4,QA Engineer
1063,"cybersecurity, git, go, rabbitmq, scala, scikit_learn",Bachelors,7,Software Developer
1064,"cicd, java, nginx",Bootcamp,13,Software Developer
1065,"cybersecurity, leadership, linux, pytorch",Masters,13,DevOps Engineer
1066,"excel, flask, gitlab, grpc, problem_solving",Masters,6,DevOps Engineer
1067,"illustrator, networking, python, solidity, typescript",Masters,12,Blockchain Developer
1068,"dotnet, gitlab, html, nodejs, statistics",PhD,4,Data Analyst
1069,"cpp, numpy, sql",Bachelors,14,Data Analyst
1070,"blockchain, css, dotnet, elasticsearch, pandas, redis, scala, selenium",Bachelors,6,Database Administrator
1071,"graphql, networking, numpy, postgresql",Bootcamp,14,Database Administrator
1072,"apache_spark, javascript, linux, pandas, scala",Bachelors,6,Software Developer
1073,"cybersecurity, dotnet, hadoop, mongodb_atlas, problem_solving, ruby, spring, ui_design",Bootcamp,9,Product Manager
1074,"devops, github_actions, graphql, mongodb_atlas, powerbi, pytest, selenium",Masters,8,QA Engineer
1075,"cicd, data_analysis, java, javascript, kafka, numpy",Bachelors,14,Software Developer
1076,"kotlin, mysql, tableau",Bootcamp,13,Database Administrator
1077,"firebase, git, pytorch",Bachelors,11,Software Developer
1078,"agile, azure, figma, hadoop, javascript, pandas, public_speaking, swift",Bachelors,7,UX/UI Designer
1079,"cypress, deep_learning, firebase, jira, powerbi, ux_research",Bachelors,15,Data Scientist
1080,"communication, hadoop, illustrator, spring",Bachelors,9,Technical Writer
1081,"bash, communication, css, pytorch, redis",Masters,14,Technical Writer
1082,"agile, leadership, mongodb_atlas, problem_solving, public_speaking, scikit_learn",Bachelors,1,Project Manager
1083,"css, django, docker, grpc, linux, pandas, rust",Masters,8,Software Developer
1084,"apache_spark, cypress, data_viz, ethereum, sketch, websockets",Bachelors,11,UX/UI Designer
1085,"git, java, kubernetes, microservices, postgresql, selenium, solidity",Bachelors,3,Backend Developer
1086,"apache, computer_vision, cypress, hadoop, laravel, public_speaking",Bachelors,9,QA Engineer
1087,"aws, communication, excel, git, websockets",Bachelors,7,Data Analyst
1088,"docker, figma, gcp, junit, redis, sql, typescript",Bachelors,10,Backend Developer
1089,"csharp, mongodb, scala, tensorflow",Masters,4,Data Scientist
1090,"angular, devops, express, graphql, java, rabbitmq, ruby, selenium",Bachelors,2,Backend Developer
1091,"elasticsearch, selenium, solidity, testing",Masters,5,QA Engineer
1092,"devops, firebase, kotlin, problem_solving, public_speaking, selenium, statistics",PhD,7,Product Manager
1093,"excel, grpc, python, rest_apis",Masters,14,Backend Developer
1094,"csharp, laravel, leadership, networking, nginx, rust",Bachelors,10,Cloud Engineer
1095,"apache, figma, numpy, public_speaking, testing",Masters,10,UX/UI Designer
1096,"ethereum, figma, gcp, java, terraform, websockets",PhD,8,Software Developer
1097,"csharp, data_analysis, gcp, graphql",Bachelors,2,Solutions Architect
1098,"apache_spark, javascript, selenium",Masters,11,Software Developer
1099,"cicd, deep_learning, github_actions, linux, sketch, typescript",Bootcamp,14,DevOps Engineer
1100,"communication, grpc, html, junit, networking, project_management, ruby, scikit_learn",Masters,4,Project Manager
1101,"firebase, hadoop, machine_learning, rust, vue",Bootcamp,5,Data Scientist
1102,"agile, cicd, gitlab, jira, rest_apis",Masters,11,DevOps Engineer
1103,"django, hadoop, leadership, nodejs, php, ux_research",Bootcamp,1,Backend Developer
1104,"jira, junit, networking, nginx, php, selenium, tensorflow",Bachelors,1,QA Engineer
1105,"nginx, php, rabbitmq, rest_apis, swift",Bootcamp,15,Solutions Architect
1106,"computer_vision, laravel, testing",Masters,1,Frontend Developer
1107,"kafka, leadership, powerbi, problem_solving, typescript",Bachelors,0,Product Manager
1108,"gitlab, hadoop, java, scala, supabase, testing",Bootcamp,14,Software Developer
1109,"agile, firebase, microservices, python, ux_research",Masters,7,Backend Developer
1110,"cypress, devops, elasticsearch, express, microservices, selenium",Bootcamp,1,QA Engineer
1111,"bash, css, git, scala, spring, statistics",Bachelors,0,Software Developer
1112,"kotlin, ruby, tensorflow, testing",Bachelors,0,Machine Learning Engineer
1113,"apache_spark, azure, illustrator, kubernetes",Bachelors,3,Solutions Architect
1114,"express, firebase, junit, leadership, powerbi, pytorch, spring, supabase",Masters,0,Backend Developer
1115,"gcp, illustrator, junit, laravel",Bachelors,2,Solutions Architect
1116,"computer_vision, css, linux, mongodb, powershell, problem_solving, rabbitmq, tableau",Bachelors,5,Cybersecurity Analyst
1117,"figma, firebase, gcp, graphql, nginx, websockets",Bachelors,2,Backend Developer
1118,"cybersecurity, docker, elasticsearch, gitlab, illustrator, nginx, rails, react",PhD,15,Full Stack Developer
1119,"linux, swift, testing",Bachelors,2,Software Developer
1120,"dotnet, grpc, jira",Masters,15,Project Manager
1121,"computer_vision, devops, illustrator, nosql, python, rust",Masters,6,Data Scientist
1122,"jenkins, machine_learning, networking, numpy, pandas, php, statistics",Masters,13,Data Scientist
1123,"csharp, css, elasticsearch, flask, microservices, problem_solving, public_speaking",Bachelors,4,Product Manager
1124,"apache_spark, computer_vision, gcp, kotlin, machine_learning, scikit_learn",Masters,8,Data Scientist
1125,"css, deep_learning, dotnet, flask, powerbi",Masters,0,Frontend Developer
1126,"apache, express, powershell",Bootcamp,6,Full Stack Developer
1127,"csharp, nginx, spring",Bachelors,11,Backend Developer
1128,"cybersecurity, leadership, machine_learning, mongodb, networking, swift",Bachelors,9,Cybersecurity Analyst
1129,"deep_learning, ethereum, graphql, kafka, mysql, r, rabbitmq, selenium",Bootcamp,14,Backend Developer
1130,"apache_spark, django, figma, kafka, nlp, swift, testing",Bachelors,7,Backend Developer
1131,"computer_vision, data_analysis, kotlin, microservices, terraform",Bachelors,13,Data Scientist
1132,"figma, laravel, sketch, ux_research",PhD,12,UX/UI Designer
1133,"bash, css, flask, hadoop, mongodb_atlas, pytorch, supabase, tensorflow",Masters,14,Machine Learning Engineer
1134,"jenkins, numpy, redis, supabase",PhD,11,Database Administrator
1135,"bash, devops, docker, graphql, java, problem_solving, rails, scala",PhD,2,Backend Developer
1136,"excel, kotlin, mongodb_atlas, powerbi, selenium, terraform, vue",Bachelors,5,Data Analyst
1137,"flask, powershell, project_management, spring, terraform",Bachelors,8,Systems Administrator
1138,"gcp, jira, mongodb_atlas, nosql, statistics, tableau",Masters,3,Data Analyst
1139,"deep_learning, django, figma, flask, testing",Bachelors,14,QA Engineer
1140,"deep_learning, kotlin, selenium",Bachelors,13,Data Scientist
1141,"java, jenkins, microservices, networking, pytest, python, rest_apis, ruby",Bootcamp,11,Backend Developer
1142,"cicd, cpp, leadership, postgresql",Masters,4,Full Stack Developer
1143,"blockchain, csharp, deep_learning, pytorch, ruby, rust, spring, ui_design",Masters,15,Data Scientist
1144,"apache, data_viz, flask, postgresql, redis, rust, technical_writing",Bootcamp,1,Database Administrator
1145,"data_viz, public_speaking, python, testing",Bachelors,11,Data Scientist
1146,"java, pandas, ui_design",Bachelors,0,Backend Developer
1147,"blockchain, photoshop, powerbi, powershell, statistics",Masters,10,Systems Administrator
1148,"figma, hadoop, java, mongodb, postgresql, pytorch, technical_writing",Bachelors,5,Database Administrator
1149,"cpp, graphql, hadoop, html, kubernetes, supabase",Bachelors,3,Solutions Architect
1150,"java, leadership, linux, redis, rust",PhD,8,Backend Developer
1151,"apache, flask, public_speaking, scala, supabase",Bootcamp,3,Product Manager
1152,"django, graphql, junit, kotlin, mysql, spring",Bachelors,9,Backend Developer
1153,"data_analysis, django, leadership, mongodb, rabbitmq",Bachelors,11,Database Administrator
1154,"angular, cypress, junit, mongodb_atlas",Masters,6,QA Engineer
1155,"deep_learning, devops, figma, machine_learning, project_management, pytorch, scala, vue",Bachelors,14,Data Scientist
1156,"azure, django, express, php, ux_research",Bachelors,11,Backend Developer
1157,"cypress, illustrator, nginx, numpy, php, powershell, rabbitmq, selenium",PhD,6,QA Engineer
1158,"angular, css, html, nosql",Bootcamp,12,Frontend Developer
1159,"apache_spark, communication, java, pandas, powershell, python",Bootcamp,8,Software Developer
1160,"apache, django, express, java, nodejs, public_speaking, terraform, ux_research",Masters,2,Backend Developer
1161,"jenkins, solidity, testing",Masters,11,Software Developer
1162,"cypress, deep_learning, elasticsearch, illustrator, mongodb_atlas",Bootcamp,9,Cybersecurity Analyst
1163,"graphql, laravel, ux_research",Bachelors,10,Full Stack Developer
1164,"angular, docker, jenkins, junit, python",Masters,2,DevOps Engineer
1165,"flask, junit, rest_apis, solidity, typescript",Masters,11,Backend Developer
1166,"computer_vision, ethereum, hadoop, machine_learning, networking, problem_solving, scala",Bachelors,13,Data Scientist
1167,"csharp, junit, problem_solving",Bachelors,13,Cloud Engineer
1168,"aws, git, mongodb_atlas, scikit_learn, ux_research",Bachelors,5,Machine Learning Engineer
1169,"apache, apache_spark, azure, devops, networking, python, supabase",Masters,3,Cloud Engineer
1170,"numpy, tensorflow, terraform, ux_research",Bachelors,7,Data Scientist
1171,"excel, express, illustrator, jira, kubernetes, nodejs, tableau",PhD,9,Backend Developer
1172,"go, javascript, kotlin",Bachelors,11,Data Analyst
1173,"computer_vision, elasticsearch, express, junit, ui_design",Bootcamp,5,Robotics Engineer
1174,"apache, django, pandas, r",Masters,12,Data Scientist
1175,"azure, cpp, csharp, data_viz, machine_learning, microservices, nosql, typescript",Bootcamp,5,Solutions Architect
1176,"cypress, excel, java, nosql, rust, sketch, vue",Bootcamp,6,Frontend Developer
1177,"csharp, deep_learning, illustrator, nlp",Bachelors,12,Data Scientist
1178,"aws, powerbi, python, rails, typescript",Bachelors,1,Machine Learning Engineer
1179,"junit, mongodb, nosql, pytorch, rust, technical_writing, terraform, testing",Bootcamp,3,Database Administrator
1180,"graphql, html, mysql, pytest, swift",Bootcamp,3,Database Administrator
1181,"aws, data_viz, firebase, git, mongodb_atlas, photoshop, terraform",Masters,11,DevOps Engineer
1182,"powershell, project_management, rabbitmq, technical_writing, ux_research",Bootcamp,14,Technical Writer
1183,"docker, mongodb_atlas, rails, ui_design",Bachelors,15,Cloud Engineer
